url,stars,python,training,evaluation,pretrained_model,results,dependencies
https://github.com/Microsoft/EconML,654,1,1,0,0,0,1
https://github.com/cornellius-gp/gpytorch,1841,1,1,1,0,1,1
https://github.com/trevorcampbell/bayesian-coresets,73,1,1,1,0,0,1
https://github.com/voxelmorph/voxelmorph,652,1,1,1,1,1,0
https://github.com/stanfordnlp/mac-network,406,1,1,1,0,0,1
https://github.com/albietz/ckn_kernel,3,1,1,1,0,0,1
https://github.com/akshaykr/oracle_cb,15,1,1,1,0,0,1
https://github.com/ShangtongZhang/DeepRL,1830,1,1,1,0,1,1
https://github.com/RonanFR/UCRL,21,1,1,1,0,1,1
https://github.com/deepmind/lab,6082,1,1,1,0,0,1
https://github.com/chris-nemeth/pseudo-extended-mcmc-code,3,1,0,0,0,0,0
https://github.com/ryantibs/conformal,66,0,0,0,0,0,0
https://github.com/kuleshov/audio-super-res,291,1,1,1,0,0,1
https://github.com/mejbah/AutoPerf,9,1,1,0,0,0,0
https://github.com/GuyLor/direct_vae,3,1,1,0,0,0,1
https://github.com/pytorch/pytorch,36549,1,1,1,1,1,1
https://github.com/bobye/WBC_Matlab,12,0,0,1,0,0,0
https://github.com/guilgautier/DPPy,89,1,1,0,0,0,1
https://github.com/liusf15/Sketching-lr,3,1,0,1,0,0,0
https://github.com/tensorflow/lingvo,1914,1,1,1,1,0,1
https://github.com/tensorflow/tpu,3120,1,1,1,1,0,1
https://github.com/google-research/google-research,7657,1,1,1,1,1,1
https://github.com/Microsoft/EdgeML,775,1,1,0,1,0,1
https://github.com/alherit/kd-switch,2,1,1,1,0,0,1
https://github.com/Lezcano/expRNN,59,1,1,0,0,0,0
https://github.com/deep-fry/mayo,78,1,1,1,0,0,1
https://github.com/submission2019/cnn-quantization,89,1,1,1,0,1,1
https://github.com/lorenmt/maxl,51,1,1,0,0,0,0
https://github.com/ayanc/blpa,5,1,1,0,0,0,0
https://github.com/White-Link/UnsupervisedScalableRepresentationLearningTimeSeries,88,1,1,1,1,1,1
https://github.com/tkusmierczyk/lcvi,2,1,0,1,0,1,1
https://github.com/wushanshan/GraphLearn,1,0,0,0,0,0,0
https://github.com/RixonC/DINGO,1,1,1,1,0,0,0
https://github.com/wjmaddox/swa_gaussian,149,1,1,1,0,1,1
https://github.com/zihangdai/reexamine-srnn,9,1,1,1,0,0,1
https://github.com/QB3/CLaR,9,1,1,1,0,0,1
https://github.com/google-research/disentanglement_lib,812,1,1,1,1,0,1
https://github.com/pathak22/modular-assemblies,80,1,1,0,0,0,1
https://github.com/steverab/failing-loudly,12,1,0,1,1,0,1
https://github.com/supratikp/HOOF,11,1,1,1,0,0,1
https://github.com/amzn/emukit,179,1,1,1,0,0,1
https://github.com/revbucket/geometric-certificates,28,1,1,1,0,0,1
https://github.com/eth-sri/eran,114,1,1,1,1,1,1
https://github.com/gowerrobert/StochOpt.jl,13,1,0,1,0,0,1
https://github.com/brekelma/echo,15,1,1,1,0,0,1
https://github.com/Hadisalman/robust-verify-benchmark,26,1,1,1,1,1,1
https://github.com/uncbiag/registration,79,0,1,0,0,0,0
https://github.com/dppalomar/spectralGraphTopology,11,0,0,0,0,0,1
https://github.com/emilemathieu/pvae,30,1,1,0,0,0,1
https://github.com/ashafahi/free_adv_train,87,1,1,1,0,1,1
